customer_id,account_length,location_code,intertiol_plan,voice_mail_plan,number_vm_messages,total_day_min,total_day_calls,total_day_charge,total_eve_min,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,Churn,
1001,15,452,no,no,0,121.1,130,20.59,216,86,18.36,235.1,33,10.58,16.1,5,4.35,2,No,
1002,105,452,no,no,0,259.3,96,44.08,175.2,97,14.89,222.4,36,10.01,12,5,3.24,3,No,
1003,97,452,no,yes,32,183.4,94,31.18,269.1,120,22.87,203.5,38,9.16,6.7,4,1.81,5,No,
1004,121,445,no,yes,35,68.7,95,11.68,209.2,69,17.78,197.4,42,8.88,11.4,4,3.08,1,No,
1005,98,452,no,yes,22,278.3,89,47.31,93.4,143,7.94,107.6,42,4.84,9.7,5,2.62,0,No,
1006,151,445,no,yes,17,214.7,97,36.5,138.5,90,11.77,169.1,44,7.61,8.6,4,2.32,1,No,
1007,170,452,no,yes,42,185.5,111,34.92,145,94,11.48,175.6,44,8.31,10.9,3,2.94,4,Yes,
1008,39,445,no,no,0,60.4,158,10.27,306.2,120,26.03,123.9,46,5.58,12.4,3,3.35,1,No,
1009,94,547,no,no,0,262.2,105,48.1,216.6,102,18.22,235.6,47,9.97,11.5,3,3.11,3,Yes,
1010,93,547,yes,no,0,168.4,114,28.63,276,127,23.46,196.2,48,8.83,11.4,3,3.08,1,No,
1011,170,452,no,yes,42,199.5,119,33.92,135,90,11.48,184.6,49,8.31,10.9,3,2.94,4,Yes,
1012,61,445,no,yes,31,288.7,101,49.08,203.8,102,,203.2,49,9.14,8.6,3,2.32,0,No,
1013,137,547,no,no,0,242.1,118,41.16,191,93,16.24,218.6,50,9.84,14.7,2,3.97,3,No,
1014,85,452,no,no,0,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1,No,
1015,121,547,no,no,0,177.2,142,30.12,123.5,88,10.5,213.2,51,9.59,8.4,6,2.27,1,No,
1016,94,547,no,no,0,271.2,105,46.1,202.6,105,17.22,221.6,51,9.97,11.5,3,3.11,3,Yes,
1017,113,452,no,yes,30,183.8,102,31.25,183.4,123,15.59,235,52,10.58,11.6,7,3.13,0,No,
1018,101,452,no,no,0,154.4,130,26.25,217.2,101,18.46,185.4,52,8.34,13.9,4,3.75,1,No,
1019,32,547,no,no,0,230.9,87,39.25,187.4,90,15.93,154,53,6.93,6.3,2,1.7,0,No,
1020,149,445,no,no,0,69.1,117,11.75,136.3,100,11.59,181.7,53,8.18,6.3,3,1.7,1,No,
1021,105,452,no,no,0,101.4,48,17.24,159.1,119,13.52,259.2,53,11.66,12.2,2,3.29,1,No,
1022,54,547,no,no,0,210.5,102,35.79,204.5,83,17.38,127.8,53,5.75,8.5,5,2.3,1,No,
1023,149,445,no,yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,No,
1024,52,547,yes,no,0,251.4,118,42.74,196.6,80,16.71,192,53,8.64,11,2,2.97,0,Yes,
1025,174,445,no,no,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,No,
1026,160,445,no,no,0,82.7,116,14.06,194.6,95,16.54,159,54,7.15,10.9,9,2.94,0,No,
1027,122,547,no,no,0,157.1,133,25.71,191.9,121,16.72,193.2,54,8.87,8.5,5,2.3,4,Yes,
1028,96,445,no,yes,29,150,91,25.5,159.4,75,13.55,228.1,55,10.26,8.5,3,2.3,1,No,
1029,79,452,no,no,0,41.9,124,7.12,211,95,17.94,237.9,55,10.71,11.4,5,3.08,1,No,
1030,24,547,no,yes,25,164.9,110,28.03,209.3,105,17.79,231.2,55,10.4,6.7,9,1.81,1,No,
1031,55,452,no,no,0,175.6,147,29.85,161.8,118,13.75,289.5,55,13.03,9.3,4,2.51,0,No,
1032,63,452,no,yes,33,184.2,111,31.31,312.6,89,26.57,264,55,11.88,12.2,4,3.29,1,No,
1033,105,445,no,no,0,166.1,93,28.24,175.9,106,14.95,243.5,55,10.96,16.2,3,4.37,2,No,
1034,117,452,no,no,0,115.4,123,18.13,236.3,101,22.19,225,55,10.22,13.6,2,3.67,5,Yes,
1035,71,452,no,no,0,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,3,No,
1036,117,452,no,no,0,118.4,126,20.13,249.3,97,21.19,227,56,10.22,13.6,3,3.67,5,Yes,
1037,56,445,no,no,0,210.4,80,35.77,176.6,96,15.01,149.7,56,6.74,15.5,4,4.19,1,No,
1038,105,445,no,no,0,271.9,101,48.05,240.2,105,20.23,186.8,56,8.05,8.8,6,2.38,0,Yes,
1039,110,445,no,no,0,100.1,90,17.02,233.3,93,19.83,204.4,57,9.2,11.1,8,3,3,No,
1040,108,452,no,no,0,199.3,104,33.88,224.2,92,19.06,140.1,57,6.3,15.2,2,4.1,0,No,
1041,74,452,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,No,
1042,95,445,no,yes,32,262.2,123,44.57,165.2,82,14.04,194.3,57,8.74,10.6,5,2.86,0,No,
1043,99,452,no,no,0,182.6,83,31.04,154.5,111,13.13,196,57,8.82,12.1,5,3.27,0,No,
1044,122,452,yes,no,0,230.9,132,39.25,243.2,99,20.67,182.4,57,8.21,11,2,2.97,0,Yes,
1045,110,452,no,no,0,227.7,88,38.71,170,96,14.45,128.7,57,5.79,11.7,5,3.16,1,No,
1046,10,445,no,no,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,No,
1047,94,445,no,no,0,279.2,107,47.76,180.8,141,17.47,267.6,57,11.59,8.9,1,2.4,3,Yes,
1048,90,452,no,no,0,179.2,77,30.46,210.7,99,17.91,276.9,58,12.46,9.2,6,2.48,2,No,
1049,86,547,no,yes,41,119,101,20.23,230,134,19.55,236.9,58,10.66,9.5,3,2.57,0,No,
1050,63,452,no,no,0,211.2,80,35.9,237.7,93,20.2,259.2,58,11.66,12.3,2,3.32,0,No,
1051,122,452,no,no,0,35.1,62,5.97,180.8,89,15.37,251.6,58,11.32,12.7,2,3.43,1,No,
1052,63,452,yes,no,0,62.9,112,10.69,202.9,111,17.25,259,58,11.66,8.9,8,2.4,1,No,
1053,177,452,no,no,0,266.1,91,45.24,225.2,79,19.14,224.7,58,10.11,8.9,8,2.4,3,Yes,
1054,75,445,yes,no,0,194.3,57,34.92,93.6,121,8.98,170.9,58,7.92,9.7,4,2.62,4,Yes,
1055,52,547,yes,no,0,238.4,123,44.74,196.6,78,15.71,200,58,8.64,11,1,2.97,0,Yes,
1056,131,452,no,yes,25,192.7,85,32.76,225.9,105,19.2,254.2,59,11.44,10.9,6,2.94,2,No,
1057,121,445,no,no,0,168.6,121,28.66,168.6,94,14.33,95.3,59,4.29,12.3,4,3.32,1,No,
1058,122,547,no,no,0,157.1,134,26.71,184.9,122,15.72,197.2,59,8.87,8.5,5,2.3,4,Yes,
1059,135,547,no,no,0,154.4,130,26.25,203.8,90,17.32,158.7,59,7.14,11.8,3,3.19,0,No,
1060,113,452,no,yes,23,205,101,34.85,152,60,12.92,158.6,59,7.14,10.2,5,2.75,2,No,
